CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
90,-1.8890000000000002,-0.7130000000000001,-1.3179999999999996,-2.021,-0.8840000000000003,-1.327,-2.339,J13-1009.xml,C10-1045.xml,2402
91,-0.403,-1.8269999999999995,-2.019,0.009000000000000008,-0.7080000000000002,-2.8119999999999994,-2.035,J13-1009.xml,C10-1045.xml,2402
92,-1.7279999999999998,0.009000000000000008,-2.1930000000000005,-1.725,-2.981,-2.1930000000000005,-2.916,J13-1009.xml,C10-1045.xml,2402
93,-0.9609999999999999,-0.399,-2.2689999999999997,-0.911,-1.15,-2.2449999999999997,-2.39,J13-1009.xml,C10-1045.xml,2402
94,-3.2559999999999993,-3.3040000000000003,-1.371,-2.181,-2.324,-3.2460000000000004,-2.8099999999999996,P11-1159.xml,C10-1045.xml,2402
95,-1.343,-2.181,-3.571999999999999,-0.9070000000000003,-1.778,-4.0089999999999995,-3.5269999999999992,P11-2037.xml,C10-1045.xml,2402
96,-2.6020000000000003,-2.5479999999999996,-2.0560000000000005,-0.9470000000000001,-2.5959999999999996,-3.184,-2.4699999999999998,P11-2122.xml,C10-1045.xml,2402
97,-1.1030000000000002,-0.9080000000000001,-1.891,-1.529,-2.338,-2.1809999999999996,-2.517,P11-2122.xml,C10-1045.xml,2402
98,-2.726,-2.197,-1.5130000000000003,-1.233,-2.117,-2.92,-2.2800000000000002,P11-2122.xml,C10-1045.xml,2402
99,-1.7919999999999998,-2.1759999999999997,-1.549,-3.0509999999999993,-1.2039999999999997,-2.6880000000000006,-3.501999999999999,P11-2124.xml,C10-1045.xml,2402
100,-0.403,-1.8980000000000001,-1.7089999999999996,-0.702,-1.1879999999999997,-2.937,-2.1870000000000003,P12-1016.xml,C10-1045.xml,2402
101,-2.1860000000000004,-2.504,-3.1880000000000006,-1.7430000000000003,-2.2110000000000003,-3.909,-3.468,P12-2002.xml,C10-1045.xml,2402
102,-2.997,-1.2760000000000002,-1.9730000000000003,-1.1969999999999996,-0.31099999999999994,-2.625,-2.286,P12-2002.xml,C10-1045.xml,2402
