CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
151,0.0,0.0,0.008849557522123894,0.008928571428571428,0.008771929824561403,0.008333333333333333,0.0423728813559322,D11-1059.xml,D10-1083.xml,3643
152,0.0,0.009009009009009009,0.0,0.0,0.0,0.025423728813559324,0.008403361344537815,D11-1059.xml,D10-1083.xml,3643
153,0.009345794392523364,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,D11-1059.xml,D10-1083.xml,3643
154,0.017391304347826087,0.008771929824561403,0.0,0.0,0.0,0.04310344827586207,0.0,D12-1086.xml,D10-1083.xml,3643
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D12-1125.xml,D10-1083.xml,3643
156,0.0,0.0,0.02654867256637168,0.0,0.027777777777777776,0.00847457627118644,0.06086956521739131,D12-1127.xml,D10-1083.xml,3643
157,0.0,0.0,0.008695652173913044,0.00909090909090909,0.008928571428571428,0.03305785123966942,0.04201680672268908,D13-1004.xml,D10-1083.xml,3643
158,0.0,0.0,0.009009009009009009,0.00909090909090909,0.0,0.02702702702702703,0.017094017094017096,N12-1045.xml,D10-1083.xml,3643
159,0.009009009009009009,0.0,0.008849557522123894,0.0,0.02564102564102564,0.017241379310344827,0.00847457627118644,P11-1087.xml,D10-1083.xml,3643
160,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,P11-1087.xml,D10-1083.xml,3643
161,0.0,0.0,0.0,0.0,0.017241379310344827,0.018018018018018018,0.008620689655172414,P13-1150.xml,D10-1083.xml,3643
162,0.0,0.009523809523809525,0.0,0.0,0.034782608695652174,0.017391304347826087,0.034782608695652174,W11-0301.xml,D10-1083.xml,3643
163,0.0,0.02631578947368421,0.008695652173913044,0.0,0.05084745762711865,0.02459016393442623,0.0,W12-1914.xml,D10-1083.xml,3643
164,0.0,0.0,0.028037383177570093,0.008928571428571428,0.0,0.008771929824561403,0.017094017094017096,W11-1104.xml,E03-1020.xml,3643
165,0.0,0.0,0.018867924528301886,0.0,0.009523809523809525,0.027777777777777776,0.045871559633027525,W11-2214.xml,E03-1020.xml,3643
166,0.0,0.0,0.008928571428571428,0.0,0.0,0.008333333333333333,0.02586206896551724,W11-2214.xml,E03-1020.xml,3643
167,0.0,0.017857142857142856,0.0,0.02654867256637168,0.0,0.035398230088495575,0.042735042735042736,N13-1140.xml,E09-2008.xml,3780
168,0.02654867256637168,0.0,0.0,0.03571428571428571,0.009174311926605505,0.06140350877192982,0.06140350877192982,W11-2605.xml,E09-2008.xml,3780
169,0.0,0.0,0.027777777777777776,0.0,0.0,0.008771929824561403,0.02654867256637168,W12-1003.xml,E09-2008.xml,3780
170,0.02702702702702703,0.00909090909090909,0.01694915254237288,0.0,0.0,0.04201680672268908,0.05217391304347826,W12-6202.xml,E09-2008.xml,3780
171,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.008928571428571428,W12-6211.xml,E09-2008.xml,3780
172,0.0,0.008928571428571428,0.0,0.0,0.0,0.017094017094017096,0.017543859649122806,W12-6212.xml,E09-2008.xml,3780
173,0.008928571428571428,0.0,0.0,0.017857142857142856,0.0,0.0,0.03508771929824561,W12-6212.xml,E09-2008.xml,3780
174,0.0,0.009174311926605505,0.02654867256637168,0.0,0.0,0.016666666666666666,0.035398230088495575,W12-6213.xml,E09-2008.xml,3780
175,0.0,0.0,0.00909090909090909,0.06666666666666667,0.0,0.017699115044247787,0.11666666666666667,P09-1083.xml,H05-1115.xml,3780
176,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.009259259259259259,P09-1083.xml,H05-1115.xml,3780
177,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,P09-1083.xml,H05-1115.xml,3780
178,0.009009009009009009,0.0,0.0,0.0,0.0,0.017543859649122806,0.04201680672268908,C10-2049.xml,H05-1115.xml,3780
179,0.008771929824561403,0.0,0.0,0.0,0.0,0.009259259259259259,0.009009009009009009,P08-2003.xml,H05-1115.xml,3780
180,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.025210084033613446,P08-2003.xml,H05-1115.xml,3780
181,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.009009009009009009,P10-2055.xml,H05-1115.xml,3780
182,0.009009009009009009,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,W93-0111.xml,H89-2014.xml,3780
183,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.06611570247933884,J93-2006.xml,H89-2014.xml,3780
184,0.0,0.009009009009009009,0.0,0.0,0.009523809523809525,0.008771929824561403,0.0,C00-1081.xml,H89-2014.xml,3780
185,0.0,0.0,0.009009009009009009,0.009259259259259259,0.0,0.03418803418803419,0.0,H92-1022.xml,H89-2014.xml,3780
186,0.0,0.009174311926605505,0.0,0.0,0.0,0.008547008547008548,0.009174311926605505,C92-1060.xml,H89-2014.xml,3780
187,0.0,0.0,0.0,0.06666666666666667,0.0,0.009523809523809525,0.08181818181818182,C08-1107.xml,I05-5011.xml,3985
188,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.027522935779816515,C10-2017.xml,I05-5011.xml,3985
189,0.010309278350515464,0.0,0.019417475728155338,0.0,0.0,0.009433962264150943,0.01818181818181818,D12-1094.xml,I05-5011.xml,3985
190,0.009900990099009901,0.0,0.00980392156862745,0.009345794392523364,0.01020408163265306,0.00909090909090909,0.01834862385321101,E09-1025.xml,I05-5011.xml,3985
191,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.01818181818181818,I08-1070.xml,I05-5011.xml,3985
